94.00,0.40,0.35,0.35
83.00,0.39,0.40,0.38
88.00,0.43,0.37,0.40
77.00,0.48,0.43,0.41
66.00,0.44,0.50,0.46
80.00,0.40,0.41,0.46
88.00,0.35,0.37,0.42
82.00,0.37,0.40,0.38
87.00,0.30,0.38,0.36
86.00,0.34,0.38,0.33
93.00,0.20,0.35,0.32
94.00,0.37,0.35,0.27
94.00,0.40,0.35,0.29
82.00,0.45,0.40,0.39
77.00,0.38,0.43,0.43
78.00,0.46,0.42,0.42
79.00,0.42,0.42,0.42
73.00,0.53,0.45,0.44
77.00,0.39,0.43,0.48
82.00,0.45,0.40,0.46
83.00,0.37,0.40,0.42
77.00,0.36,0.43,0.42
85.00,0.34,0.39,0.37
93.00,0.35,0.35,0.36
93.00,0.33,0.35,0.35
89.00,0.34,0.37,0.35
86.00,0.34,0.38,0.34
92.00,0.30,0.36,0.34
93.00,0.26,0.35,0.32
93.00,0.31,0.35,0.28
97.00,0.27,0.34,0.29
96.00,0.32,0.34,0.29
97.00,0.28,0.34,0.30
89.00,0.30,0.37,0.30
92.00,0.41,0.36,0.29
86.00,0.43,0.38,0.36
81.00,0.41,0.40,0.42
84.00,0.37,0.39,0.42
86.00,0.34,0.38,0.39
91.00,0.38,0.36,0.36
90.00,0.39,0.36,0.36
78.00,0.33,0.42,0.39
85.00,0.33,0.39,0.37
94.00,0.33,0.35,0.33
86.00,0.40,0.38,0.33
87.00,0.36,0.38,0.36
90.00,0.41,0.36,0.38
92.00,0.32,0.36,0.39
92.00,0.37,0.36,0.37
88.00,0.38,0.37,0.35
87.00,0.37,0.38,0.38
89.00,0.38,0.37,0.37
89.00,0.40,0.37,0.38
84.00,0.44,0.39,0.40
86.00,0.48,0.38,0.42
73.00,0.42,0.45,0.46
72.00,0.50,0.46,0.46
77.00,0.45,0.43,0.46
72.00,0.44,0.46,0.48
71.00,0.44,0.46,0.45
74.00,0.47,0.44,0.44
74.00,0.43,0.44,0.46
84.00,0.38,0.39,0.46
81.00,0.46,0.40,0.41
80.00,0.51,0.41,0.42
61.00,0.48,0.54,0.49
71.00,0.41,0.46,0.50
78.00,0.42,0.42,0.44
75.00,0.47,0.44,0.42
75.00,0.39,0.44,0.45
78.00,0.32,0.42,0.43
89.00,0.43,0.37,0.36
89.00,0.33,0.37,0.38
87.00,0.37,0.38,0.38
95.00,0.34,0.35,0.35
87.00,0.37,0.38,0.35
96.00,0.39,0.34,0.35
91.00,0.34,0.36,0.38
89.00,0.53,0.37,0.37
78.00,0.41,0.42,0.44
68.00,0.50,0.48,0.48
77.00,0.53,0.43,0.46
68.00,0.40,0.48,0.52
75.00,0.51,0.44,0.47
73.00,0.41,0.45,0.46
76.00,0.37,0.43,0.46
86.00,0.43,0.38,0.39
81.00,0.38,0.40,0.40
80.00,0.39,0.41,0.41
84.00,0.42,0.39,0.39
82.00,0.44,0.40,0.41
71.00,0.39,0.46,0.43
79.00,0.47,0.42,0.42
72.00,0.49,0.46,0.44
75.00,0.51,0.44,0.48
77.00,0.49,0.43,0.50
78.00,0.40,0.42,0.50
75.00,0.47,0.44,0.45
79.00,0.47,0.42,0.43
73.00,0.47,0.45,0.47
73.00,0.45,0.45,0.47
77.00,0.47,0.43,0.46
76.00,0.55,0.43,0.46
66.00,0.58,0.50,0.51
53.00,0.62,0.62,0.57
48.00,0.60,0.68,0.60
54.00,0.67,0.61,0.62
49.00,0.63,0.67,0.64
37.00,0.89,0.80,0.65
26.00,0.88,0.80,0.74
7.00,0.86,0.80,0.89
7.00,0.71,0.80,0.88
17.00,0.82,0.80,0.79
13.00,0.85,0.80,0.79
11.00,0.73,0.80,0.83
22.00,0.55,0.80,0.79
44.00,0.68,0.75,0.61
41.00,0.78,0.80,0.64
23.00,0.87,0.80,0.73
19.00,0.84,0.80,0.81
8.00,0.75,0.80,0.86
11.00,0.82,0.80,0.81
18.00,0.67,0.80,0.79
30.00,0.73,0.80,0.73
26.00,0.73,0.80,0.71
23.00,0.65,0.80,0.73
28.00,0.79,0.80,0.70
18.00,0.67,0.80,0.73
17.00,0.88,0.80,0.74
21.00,0.90,0.80,0.77
3.00,0.33,0.80,0.89
13.00,0.85,0.80,0.83
17.00,0.82,0.80,0.75
8.00,0.88,0.80,0.83
9.00,0.89,0.80,0.84
12.00,0.83,0.80,0.88
9.00,0.89,0.80,0.85
6.00,1.00,0.80,0.85
5.00,0.60,0.80,0.92
23.00,0.83,0.80,0.82
19.00,0.79,0.80,0.79
16.00,0.69,0.80,0.81
25.00,0.72,0.80,0.74
26.00,0.81,0.80,0.71
28.00,0.68,0.80,0.77
19.00,0.84,0.80,0.74
21.00,0.71,0.80,0.75
15.00,0.80,0.80,0.78
18.00,0.78,0.80,0.75
16.00,0.81,0.80,0.79
16.00,0.94,0.80,0.79
7.00,0.86,0.80,0.87
10.00,0.70,0.80,0.91
19.00,0.84,0.80,0.77
27.00,0.93,0.80,0.79
11.00,0.91,0.80,0.89
7.00,0.86,0.80,0.92
7.00,0.71,0.80,0.88
21.00,0.81,0.80,0.79
15.00,0.87,0.80,0.79
12.00,0.83,0.80,0.83
8.00,0.88,0.80,0.85
9.00,1.00,0.80,0.85
2.00,1.00,0.80,0.93
5.00,0.60,0.80,0.98
26.00,0.77,0.80,0.73
25.00,0.88,0.80,0.74
13.00,0.69,0.80,0.82
17.00,0.88,0.80,0.82
